FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
29346	1	252633.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29347	1	252640.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29348	1	252647.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29349	1	252654.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29350	1	252662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29351	1	252668.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29352	1	252675.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29353	1	252682.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29354	1	252688.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29355	1	252696.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29356	1	252705.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29357	1	252712.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29358	1	252724.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29359	1	252732.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29360	1	252739.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29361	1	252747.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29362	1	252753.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29363	1	252760.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29364	1	252766.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29365	1	252773.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29366	1	252780.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29367	1	252787.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29368	1	252794.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29369	1	252801.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29370	1	252808.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29371	1	252815.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29372	1	252822.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29373	1	252829.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29374	1	252836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29375	1	252843.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29376	1	252850.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29377	1	252857.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29378	1	252864.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29379	1	252871.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29380	1	252878.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29381	1	252884.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29382	1	252891.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29383	1	252899.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29384	1	252905.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29385	1	252912.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29386	1	252919.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29387	1	252934.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29388	1	252947.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29389	1	252958.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29390	1	252996.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29391	1	253014.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29392	1	253023.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29393	1	253030.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29394	1	253037.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29395	1	253044.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29396	1	253051.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29397	1	253059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29398	1	253065.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29399	1	253072.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29400	1	253079.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29401	1	253086.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29402	1	253093.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29403	1	253100.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29404	1	253106.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29405	1	253113.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29406	1	253120.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29407	1	253127.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29408	1	253134.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29409	1	253141.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29410	1	253148.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29411	1	253155.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29412	1	253162.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29413	1	253169.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29414	1	253175.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29415	1	253182.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29416	1	253189.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29417	1	253197.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29418	1	253203.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29419	1	253210.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29420	1	253218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29421	1	253225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29422	1	253231.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29423	1	253239.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29424	1	253245.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29425	1	253252.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29426	1	253259.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29427	1	253271.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29428	1	253278.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29429	1	253285.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29430	1	253293.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29431	1	253300.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29432	1	253307.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29433	1	253313.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29434	1	253320.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29435	1	253327.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29436	1	253334.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29437	1	253341.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29438	1	253348.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29439	1	253355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29440	1	253361.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29441	1	253368.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29442	1	253375.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29443	1	253383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29444	1	253389.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29445	1	253397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29446	1	253404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29447	1	253410.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29448	1	253417.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29449	1	253425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29450	1	253431.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29451	1	253439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29452	1	253445.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29453	1	253452.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29454	1	253460.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29455	1	253467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29456	1	253473.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29457	1	253480.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29458	1	253487.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29459	1	253494.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29460	1	253501.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29461	1	253508.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29462	1	253515.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29463	1	253522.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29464	1	253529.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29465	1	253536.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29466	1	253543.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29467	1	253549.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29468	1	253556.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29469	1	253563.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29470	1	253570.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29471	1	253577.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29472	1	253584.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29473	1	253591.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29474	1	253598.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29475	1	253605.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29476	1	253612.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29477	1	253618.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29478	1	253625.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29479	1	253632.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29480	1	253639.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29481	1	253646.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29482	1	253653.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29483	1	253659.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29484	1	253667.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29485	1	253673.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29486	1	253680.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29487	1	253687.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29488	1	253694.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29489	1	253701.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29490	1	253708.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29491	1	253715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29492	1	253722.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29493	1	253729.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29494	1	253736.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29495	1	253743.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29496	1	253749.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29497	1	253756.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29498	1	253763.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29499	1	253770.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29500	1	253778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29501	1	253784.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29502	1	253790.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29503	1	253797.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29504	1	253804.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29505	1	253811.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29506	1	253818.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29507	1	253825.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29508	1	253832.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29509	1	253839.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29510	1	253845.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29511	1	253852.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29512	1	253870.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29513	1	253877.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29514	1	253884.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29515	1	253890.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29516	1	253897.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29517	1	253904.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29518	1	253911.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29519	1	253918.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29520	1	253925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29521	1	253932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29522	1	253939.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29523	1	253945.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29524	1	253952.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29525	1	253959.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29526	1	253966.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29527	1	253973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29528	1	253980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29529	1	253988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29530	1	253995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29531	1	254002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29532	1	254008.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29533	1	254015.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29534	1	254022.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29535	1	254029.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29536	1	254036.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29537	1	254043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29538	1	254049.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29539	1	254056.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
