FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
52911	134	640667.4	0.8529562	636.978	-1.06023	0.2579457	2.842332	-0.3575168	-0.07296171	0.9310523	-0.3388173	-0.09622949	0.9359181	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52912	134	640677	0.7945198	637.0032	-1.113991	0.2702135	2.985211	-0.3572052	-0.0730298	0.9311665	-0.3394087	-0.09573141	0.9357549	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52913	134	640687.9	0.7945198	637.0032	-1.113991	0.2702135	2.985211	-0.3572052	-0.0730298	0.9311665	-0.3394087	-0.09573141	0.9357549	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52914	134	640700.6	0.7945198	637.0032	-1.113991	0.2702135	2.985211	-0.3572052	-0.0730298	0.9311665	-0.3394087	-0.09573141	0.9357549	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52915	134	640711.6	0.7607833	637.0325	-1.079069	0.2655789	2.900399	-0.3565135	-0.07350439	0.9313942	-0.3381814	-0.09725545	0.9360421	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52916	134	640722.8	0.7607833	637.0325	-1.079069	0.2655789	2.900399	-0.3565135	-0.07350439	0.9313942	-0.3381814	-0.09725545	0.9360421	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52917	134	640733.1	0.8521683	637.0494	-1.003169	0.2443723	2.696143	-0.3572583	-0.0722891	0.931204	-0.3375257	-0.09672823	0.9363333	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52918	134	640744.4	0.7529714	637.062	-1.021236	0.2473788	2.748717	-0.3566467	-0.07176366	0.931479	-0.3372841	-0.09610198	0.9364849	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52919	134	640756.1	0.7529714	637.062	-1.021236	0.2473788	2.748717	-0.3566467	-0.07176366	0.931479	-0.3372841	-0.09610198	0.9364849	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52920	134	640766.8	0.8493819	637.0914	-0.9934194	0.2456779	2.680752	-0.3560875	-0.07458404	0.9314713	-0.3361845	-0.09638494	0.9368511	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52921	134	640777.8	0.8493819	637.0914	-0.9934194	0.2456779	2.680752	-0.3560875	-0.07458404	0.9314713	-0.3361845	-0.09638494	0.9368511	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52922	134	640789	0.8493819	637.0956	-0.9807513	0.2427777	2.647643	-0.3560875	-0.07458404	0.9314713	-0.3359309	-0.09648377	0.9369318	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52923	134	640799.6	0.841538	637.1166	-0.8865754	0.2175582	2.399354	-0.3563935	-0.07229111	0.9315351	-0.3341347	-0.09690065	0.9375309	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52924	134	640812.7	0.841538	637.1166	-0.8865754	0.2175582	2.399354	-0.3563935	-0.07229111	0.9315351	-0.3341347	-0.09690065	0.9375309	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52925	134	640822.7	0.8245292	637.1459	-0.9215145	0.2283746	2.489611	-0.3564694	-0.0726068	0.9314815	-0.335055	-0.09852087	0.9370335	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52926	134	640834.1	0.8245292	637.1459	-0.9215145	0.2283746	2.489611	-0.3564694	-0.0726068	0.9314815	-0.335055	-0.09852087	0.9370335	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52927	134	640846	0.7227778	637.1501	-0.9015763	0.2243753	2.433634	-0.3569692	-0.07344869	0.931224	-0.335055	-0.09852087	0.9370335	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52928	134	640856.1	0.8496643	637.1711	-0.8806876	0.2162517	2.386217	-0.3560985	-0.07186126	0.9316812	-0.3337144	-0.09726196	0.9376432	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52929	134	640868.1	0.8496643	637.1711	-0.8806876	0.2162517	2.386217	-0.3560985	-0.07186126	0.9316812	-0.3337144	-0.09726196	0.9376432	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52930	134	640878.4	0.7751942	637.2006	-0.8602833	0.2128235	2.327599	-0.3567838	-0.07242658	0.9313751	-0.333846	-0.09816175	0.9375026	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52931	134	640889.8	0.7751942	637.2006	-0.8602833	0.2128235	2.327599	-0.3567838	-0.07242658	0.9313751	-0.333846	-0.09816175	0.9375026	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52932	134	640900.6	0.9052946	637.209	-0.9097322	0.2257411	2.46387	-0.3558419	-0.07256988	0.9317243	-0.3341805	-0.09840045	0.9373584	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52933	134	640912.8	0.7896121	637.23	-0.9024617	0.2234706	2.4426	-0.3561388	-0.0727782	0.9315946	-0.3342844	-0.09793279	0.9373703	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52934	134	640923.7	0.7896121	637.23	-0.9024617	0.2234706	2.4426	-0.3561388	-0.0727782	0.9315946	-0.3342844	-0.09793279	0.9373703	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52935	134	640934.4	0.7100739	637.2593	-0.8491212	0.209285	2.293011	-0.3575475	-0.07312842	0.9310274	-0.3342575	-0.09711398	0.9374651	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52936	134	640945.9	0.7100739	637.2593	-0.8491212	0.209285	2.293011	-0.3575475	-0.07312842	0.9310274	-0.3342575	-0.09711398	0.9374651	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52937	134	640958.7	0.8194719	637.2678	-0.8072882	0.1985319	2.177092	-0.3585739	-0.07298493	0.9306439	-0.3340439	-0.09706579	0.9375463	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52938	134	640967.6	0.894694	637.2888	-0.8804008	0.2170036	2.375728	-0.3573734	-0.07395059	0.9310293	-0.3348931	-0.09642098	0.9373097	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52939	134	640980.3	0.894694	637.2888	-0.8804008	0.2170036	2.375728	-0.3573734	-0.07395059	0.9310293	-0.3348931	-0.09642098	0.9373097	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52940	134	640991.4	0.8113093	637.314	-0.8708321	0.217226	2.348162	-0.3576703	-0.07329175	0.9309674	-0.3349672	-0.09922162	0.9369909	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52941	134	641002.8	0.8113093	637.314	-0.8708321	0.217226	2.348162	-0.3576703	-0.07329175	0.9309674	-0.3349672	-0.09922162	0.9369909	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52942	134	641014.9	0.8907687	637.3265	-0.8497654	0.2145462	2.303064	-0.3563442	-0.07392246	0.9314259	-0.3331497	-0.09989173	0.9375675	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
